vacancy_name,company,link,salary_min,salary_max,salary_currency
Дата-инженер / Data Engineer,"«Procter & Gamble», Молодой специалист",https://reutov.hh.ru/vacancy/71236005?from=vacancy_search_list&query=python,130000.0,,руб.
"C# developer junior / middle (.net, full-stack / back-end)",Mindbox,https://reutov.hh.ru/vacancy/76709182?from=vacancy_search_list&query=python,100000.0,220000.0,руб.
"Java разработчик в команду ""Навыки""",ООО HeadHunter::Backend,https://reutov.hh.ru/vacancy/76713727?from=vacancy_search_list&query=python,350000.0,,руб.
Специалист службы поддержки с техническими знаниями (TOOLS),Яндекс,https://reutov.hh.ru/vacancy/73595103?from=vacancy_search_list&query=python,15000.0,39000.0,руб.
Трейдинг Team Lead,Gotbit,https://reutov.hh.ru/vacancy/77031266?from=vacancy_search_list&query=python,120000.0,,руб.
Senior DevOps Engineer (to EU),ТОО Фарэл Софтвейр Казахстан,https://reutov.hh.ru/vacancy/77044024?from=vacancy_search_list&query=python,4000.0,5500.0,USD
Middle / Senior QA инженер,ООО HeadHunter::QA,https://reutov.hh.ru/vacancy/47759634?from=vacancy_search_list&query=python,200000.0,,руб.
BIM менеджер,ООО Конструкторское Бюро Вектор,https://reutov.hh.ru/vacancy/76919700?from=vacancy_search_list&query=python,110000.0,120000.0,руб.
Ведущий Python разработчик (удаленка),Apostro,https://reutov.hh.ru/vacancy/76832091?from=vacancy_search_list&query=python,,8000.0,USD
Разработчик Python,ООО Нетопия,https://reutov.hh.ru/vacancy/77091465?from=vacancy_search_list&query=python,200000.0,250000.0,руб.
"Python-разработчик (Django, DRF)",ООО Фабрика Решений,https://reutov.hh.ru/vacancy/70705466?from=vacancy_search_list&query=python,60000.0,220000.0,руб.
Python-разработчик (Junior),ИП Щербин Алексей Сергеевич,https://reutov.hh.ru/vacancy/76729452?from=vacancy_search_list&query=python,40000.0,60000.0,руб.
"Python Developer (проект ""Маркетинг "") Middle",СБЕРКОРУС,https://reutov.hh.ru/vacancy/76968960?from=vacancy_search_list&query=python,,,not stated
Аналитик данных / Data Analyst,Сбер. Экспертам и руководителям,https://reutov.hh.ru/vacancy/69166398?from=vacancy_search_list&query=python,,,not stated
Аналитик данных / Data Analyst,Сбер. Экспертам и руководителям,https://reutov.hh.ru/vacancy/76869170?from=vacancy_search_list&query=python,,,not stated
"Python Developer (проект ""Маркетинг БКП"") Middle",СБЕРКОРУС,https://reutov.hh.ru/vacancy/76978400?from=vacancy_search_list&query=python,,,not stated
"Python Developer (проект ""Маркетинг"") Senior",СБЕРКОРУС,https://reutov.hh.ru/vacancy/76976985?from=vacancy_search_list&query=python,,,not stated
Java developer (команда Конверсы),ООО HeadHunter::Backend,https://reutov.hh.ru/vacancy/76713778?from=vacancy_search_list&query=python,,,not stated
"Менеджер по обработке данных (SPSS, SAS, Python)",ORO,https://reutov.hh.ru/vacancy/76290598?from=vacancy_search_list&query=python,,,not stated
"Программист Python (ML, Machine learning, PyTorch)",Авиакомпания AZUR air (ООО АЗУР эйр),https://reutov.hh.ru/vacancy/77023596?from=vacancy_search_list&query=python,,,not stated
Senior Python developer (Django),evrone.ru,https://reutov.hh.ru/vacancy/76821523?from=vacancy_search_list&query=python,,450000.0,руб.
Middle Python-разработчик,AERODISK,https://reutov.hh.ru/vacancy/75679088?from=vacancy_search_list&query=python,140000.0,250000.0,руб.
